route_id,trip_id,service_id,trip_headsign,direction_id,shape_id
ATB:Line:2_422,ATB:ServiceJourney:422_220103105891966_2,ATB:DayType:797,Sistranda skole,1,
ATB:Line:2_422,ATB:ServiceJourney:422_220103105891967_4,ATB:DayType:797,Dyrøy,1,
ATB:Line:2_422,ATB:ServiceJourney:422_220103105891968_24,ATB:DayType:797,Sistranda skole,1,
ATB:Line:2_422,ATB:ServiceJourney:422_220103105891969_6,ATB:DayType:797,Dyrøy korr. 820,1,
ATB:Line:2_422,ATB:ServiceJourney:422_220103105891970_22,ATB:DayType:797,Dyrøy korr. 825,1,
ATB:Line:2_422,ATB:ServiceJourney:422_220103105891971_10,ATB:DayType:797,Sistranda skole,1,
ATB:Line:2_422,ATB:ServiceJourney:422_220103105891972_12,ATB:DayType:797,Sistranda skole,1,
ATB:Line:2_422,ATB:ServiceJourney:422_220103105891973_18,ATB:DayType:797,Sistranda skole,1,
ATB:Line:2_422,ATB:ServiceJourney:422_220103105891974_14,ATB:DayType:797,Dyrøy korr. 820,1,
ATB:Line:2_422,ATB:ServiceJourney:422_220103105891975_20,ATB:DayType:797,Sistranda skole,1,
ATB:Line:2_422,ATB:ServiceJourney:422_220103105891976_16,ATB:DayType:797,Dyrøy korr. 820/825,1,
ATB:Line:2_422,ATB:ServiceJourney:422_220103105891978_6002,ATB:DayType:731,Dyrøy korr. 820,1,
ATB:Line:2_422,ATB:ServiceJourney:422_220103105891979_7002,ATB:DayType:799,Sistranda skole,1,
ATB:Line:2_422,ATB:ServiceJourney:422_220103105891980_7004,ATB:DayType:799,Dyrøy korr. 820,1,
ATB:Line:2_422,ATB:ServiceJourney:422_220103105891981_1,ATB:DayType:797,Sistranda skole,0,
ATB:Line:2_422,ATB:ServiceJourney:422_220103105891982_3,ATB:DayType:797,Hitra Hurtigbåtterminal,0,
