from_stop_id,from_trip_id,to_stop_id,to_trip_id,transfer_type
NSR:Quay:75658,ATB:ServiceJourney:1_211028073277223_6061,NSR:Quay:75658,ATB:ServiceJourney:79_211028073285468_6014,1
NSR:Quay:77344,ATB:ServiceJourney:7707_220103105904030_4,NSR:Quay:77344,ATB:ServiceJourney:7702_220103105904003_7,1
NSR:Quay:75658,ATB:ServiceJourney:1_211028073277216_6047,NSR:Quay:75658,ATB:ServiceJourney:79_211220096148286_6012,1
NSR:Quay:77344,ATB:ServiceJourney:7707_220103105904030_4,NSR:Quay:77344,ATB:ServiceJourney:7702_220103105903999_9,1
NSR:Quay:75658,ATB:ServiceJourney:1_211028073277217_6049,NSR:Quay:75658,ATB:ServiceJourney:79_211028073285467_6012,1
NSR:Quay:77344,ATB:ServiceJourney:7706_220103105904021_2,NSR:Quay:77344,ATB:ServiceJourney:7711_220103105904060_6,1
NSR:Quay:75658,ATB:ServiceJourney:1_211028073277234_6083,NSR:Quay:75658,ATB:ServiceJourney:79_211220096148289_6018,1
NSR:Quay:77344,ATB:ServiceJourney:7707_220103105904030_4,NSR:Quay:77344,ATB:ServiceJourney:7709_220103105904048_1,1
NSR:Quay:75658,ATB:ServiceJourney:1_211028073277240_6095,NSR:Quay:75658,ATB:ServiceJourney:79_211220096148290_6020,1
NSR:Quay:77344,ATB:ServiceJourney:7707_220103105904030_4,NSR:Quay:77344,ATB:ServiceJourney:7707_220103105904029_2,1
NSR:Quay:75658,ATB:ServiceJourney:1_211028073277228_6071,NSR:Quay:75658,ATB:ServiceJourney:79_211220096148288_6016,1
NSR:Quay:77344,ATB:ServiceJourney:7707_220103105904030_4,NSR:Quay:77344,ATB:ServiceJourney:7706_220103105904028_3,1
NSR:Quay:75658,ATB:ServiceJourney:1_211028073277229_6073,NSR:Quay:75658,ATB:ServiceJourney:79_211028073285469_6016,1
NSR:Quay:77344,ATB:ServiceJourney:7707_220103105904032_1,NSR:Quay:77344,ATB:ServiceJourney:7705_220103105904018_2,1
NSR:Quay:77061,ATB:ServiceJourney:7708_220103105904035_6,NSR:Quay:77061,ATB:ServiceJourney:7710_220103105904051_2,1
NSR:Quay:75658,ATB:ServiceJourney:1_211028073277290_7019,NSR:Quay:75658,ATB:ServiceJourney:79_211028073285481_7004,1
NSR:Quay:77344,ATB:ServiceJourney:7707_220103105904030_4,NSR:Quay:77344,ATB:ServiceJourney:7712_220103105904065_9,1
NSR:Quay:71348,ATB:ServiceJourney:452_220103105898094_7003,NSR:Quay:71348,ATB:ServiceJourney:595_220103105898499_7002,1
NSR:Quay:71348,ATB:ServiceJourney:452_220103105898090_9,NSR:Quay:71348,ATB:ServiceJourney:595_220103105898498_7,1
NSR:Quay:75658,ATB:ServiceJourney:1_211220096139987_199,NSR:Quay:75658,ATB:ServiceJourney:79_211220096148275_34,1
NSR:Quay:72659,ATB:ServiceJourney:452_220103105898088_3,NSR:Quay:72659,ATB:ServiceJourney:591_220103105897173_2,1
NSR:Quay:75658,ATB:ServiceJourney:1_211220096139993_211,NSR:Quay:75658,ATB:ServiceJourney:79_211220096148276_36,1
NSR:Quay:72659,ATB:ServiceJourney:452_220103105896830_1,NSR:Quay:72659,ATB:ServiceJourney:591_220103105897172_1,1
NSR:Quay:74337,ATB:ServiceJourney:452_220125140240277_9003,NSR:Quay:74337,ATB:ServiceJourney:451_220125140238993_9004,1
